sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
0.024;23;;60rounds;Yes;Yes;2;0.53251;0.73411;0.00000;0.24304;1.26662;ConanParty@4;SAGASpearman@5;0.7253868577343348;1.0;0.5325109801168925;0.7341061868423303;0.5351261642818598;0.7341061868423303;laptop_buyer_utility_u20.xml;laptop_seller_utility_u20.xml
0.023;23;;60rounds;Yes;Yes;2;0.59835;0.73411;0.00000;0.00000;1.33246;SAGASpearman@6;ConanParty@7;1.0;0.8150795959148791;0.7341061868423303;0.5983549741300593;0.7341061868423303;0.4397871165414883;laptop_buyer_utility_u20.xml;laptop_seller_utility_u20.xml
0.027;23;;60rounds;Yes;Yes;2;0.59835;0.73411;0.00000;0.00000;1.33246;KakeSobaSpearman@8;ConanParty@9;1.0;0.8150795959148791;0.7341061868423303;0.5983549741300593;0.7341061868423303;0.4397871165414883;laptop_buyer_utility_u20.xml;laptop_seller_utility_u20.xml
0.030;31;;60rounds;Yes;Yes;2;0.53474;0.65606;0.00000;0.00000;1.19080;AgentGG@10;ConanParty@11;1.0;0.8150795959148791;0.6560605640470009;0.5347415794391172;0.6560605640470009;0.39303167431387154;laptop_buyer_utility_u20.xml;laptop_seller_utility_u20.xml
0.017;23;;60rounds;Yes;Yes;2;0.53251;0.73411;0.00000;0.24304;1.26662;ConanParty@12;KakeSobaSpearman@13;0.7253868577343348;1.0;0.5325109801168925;0.7341061868423303;0.5351261642818598;0.7341061868423303;laptop_buyer_utility_u20.xml;laptop_seller_utility_u20.xml
0.044;61;;60rounds;Yes;Yes;2;0.35082;0.43042;0.00000;0.00000;0.78124;SAGASpearman@14;KakeSobaSpearman@15;1.0;0.8150795959148791;0.4304154636976689;0.3508228622262113;0.43041546369766887;0.3485953236332942;laptop_buyer_utility_u20.xml;laptop_seller_utility_u20.xml
0.039;61;;60rounds;No;Yes;1;0.00000;0.00000;0.53173;0.55528;0.00000;KakeSobaSpearman@16;SAGASpearman@17;0.0;0.0;0.0;0.0;0.0;0.0;laptop_buyer_utility_u20.xml;laptop_seller_utility_u20.xml
0.046;61;;60rounds;No;Yes;1;0.00000;0.00000;0.53173;0.55528;0.00000;AgentGG@18;SAGASpearman@19;0.0;0.0;0.0;0.0;0.0;0.0;laptop_buyer_utility_u20.xml;laptop_seller_utility_u20.xml
0.022;23;;60rounds;Yes;Yes;2;0.53251;0.73411;0.00000;0.24304;1.26662;ConanParty@20;AgentGG@21;0.7253868577343348;1.0;0.5325109801168925;0.7341061868423303;0.5351261642818598;0.7341061868423303;laptop_buyer_utility_u20.xml;laptop_seller_utility_u20.xml
0.042;61;;60rounds;No;Yes;1;0.00000;0.00000;0.53173;0.55528;0.00000;SAGASpearman@22;AgentGG@23;0.0;0.0;0.0;0.0;0.0;0.0;laptop_buyer_utility_u20.xml;laptop_seller_utility_u20.xml
0.044;61;;60rounds;No;Yes;1;0.00000;0.00000;0.53173;0.55528;0.00000;KakeSobaSpearman@24;AgentGG@25;0.0;0.0;0.0;0.0;0.0;0.0;laptop_buyer_utility_u20.xml;laptop_seller_utility_u20.xml
0.040;61;;60rounds;Yes;Yes;2;0.35082;0.43042;0.00000;0.00000;0.78124;AgentGG@26;KakeSobaSpearman@27;1.0;0.8150795959148791;0.4304154636976689;0.3508228622262113;0.4304154636976689;0.3492993635858425;laptop_buyer_utility_u20.xml;laptop_seller_utility_u20.xml
0.017;23;;60rounds;Yes;Yes;2;0.53251;0.73411;0.00000;0.24304;1.26662;ConanParty@28;SAGASpearman@29;0.7253868577343348;1.0;0.5325109801168925;0.7341061868423303;0.5351261642818598;0.7341061868423303;laptop_buyer_utility_u20.xml;laptop_seller_utility_u20.xml
0.016;23;;60rounds;Yes;Yes;2;0.59835;0.73411;0.00000;0.00000;1.33246;SAGASpearman@30;ConanParty@31;1.0;0.8150795959148791;0.7341061868423303;0.5983549741300593;0.7341061868423303;0.4397871165414883;laptop_buyer_utility_u20.xml;laptop_seller_utility_u20.xml
