sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
;2;Session genius.core.session.Session@69c4aa02 failed: Failed to execute protocol: Execution failed of ConanParty@39:java.lang.ClassCastException: genius.core.issue.ValueDiscrete cannot be cast to genius.core.issue.ValueInteger: genius.core.issue.ValueDiscrete cannot be cast to genius.core.issue.ValueInteger:[/Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/SAGASpearman.class, /Users/joe/Projects/CONAN/out/production/CONAN/CONAN/ConanParty.class];60rounds;No;;0;;;;;;SAGASpearman;ConanParty;0.0;0.0;0.0;0.0;;;KillerRobot_util2;IntegerDomain-prof2
;2;Session genius.core.session.Session@4b3232b failed: Failed to execute protocol: Execution failed of ConanParty@41:java.lang.ClassCastException: genius.core.issue.ValueDiscrete cannot be cast to genius.core.issue.ValueInteger: genius.core.issue.ValueDiscrete cannot be cast to genius.core.issue.ValueInteger:[/Users/joe/Projects/CONAN/out/production/CONAN/CONAN/ConanParty.class, /Users/joe/Projects/CONAN/out/production/CONAN/CONAN/ConanParty.class];60rounds;No;;0;;;;;;ConanParty;ConanParty;0.0;0.0;0.0;0.0;;;KillerRobot_util2;IntegerDomain-prof2
;61;Session genius.core.session.Session@230ff4ac failed: Failed to execute protocol: domain does not match the negotiation domain:[/Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/KakeSobaSpearman.class, /Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/KakeSobaSpearman.class];60rounds;No;;0;;;;;;KakeSobaSpearman;KakeSobaSpearman;0.0;0.0;0.0;0.0;;;KillerRobot_util2;IntegerDomain-prof1
;2;Session genius.core.session.Session@17b851ae failed: Failed to execute protocol: Execution failed of KakeSobaSpearman@45:java.lang.NullPointerException: null:[/Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/SAGASpearman.class, /Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/KakeSobaSpearman.class];60rounds;No;;0;;;;;;SAGASpearman;KakeSobaSpearman;0.0;0.0;0.0;0.0;;;KillerRobot_util2;IntegerDomain-prof1
;3;Session genius.core.session.Session@46df77e6 failed: Failed to execute protocol: Execution failed of ConanParty@46:java.lang.ClassCastException: genius.core.issue.ValueInteger cannot be cast to genius.core.issue.ValueDiscrete: genius.core.issue.ValueInteger cannot be cast to genius.core.issue.ValueDiscrete:[/Users/joe/Projects/CONAN/out/production/CONAN/CONAN/ConanParty.class, /Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/KakeSobaSpearman.class];60rounds;No;;0;;;;;;ConanParty;KakeSobaSpearman;0.0;0.0;0.0;0.0;;;KillerRobot_util2;IntegerDomain-prof1
;2;Session genius.core.session.Session@37718a00 failed: Failed to execute protocol: Execution failed of KakeSobaSpearman@48:java.lang.NullPointerException: null:[/Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/KakeSobaSpearman.class, /Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/SAGASpearman.class];60rounds;No;;0;;;;;;KakeSobaSpearman;SAGASpearman;0.0;0.0;0.0;0.0;;;KillerRobot_util2;IntegerDomain-prof1
;2;Session genius.core.session.Session@5c7472f7 failed: Failed to execute protocol: Execution failed of SAGASpearman@50:java.lang.NullPointerException: null:[/Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/SAGASpearman.class, /Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/SAGASpearman.class];60rounds;No;;0;;;;;;SAGASpearman;SAGASpearman;0.0;0.0;0.0;0.0;;;KillerRobot_util2;IntegerDomain-prof1
;2;Session genius.core.session.Session@5b98fd64 failed: Failed to execute protocol: Execution failed of ConanParty@52:java.lang.NullPointerException: null:[/Users/joe/Projects/CONAN/out/production/CONAN/CONAN/ConanParty.class, /Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/SAGASpearman.class];60rounds;No;;0;;;;;;ConanParty;SAGASpearman;0.0;0.0;0.0;0.0;;;KillerRobot_util2;IntegerDomain-prof1
;2;Session genius.core.session.Session@6f4bec7 failed: Failed to execute protocol: Execution failed of ConanParty@55:java.lang.ClassCastException: genius.core.issue.ValueDiscrete cannot be cast to genius.core.issue.ValueInteger: genius.core.issue.ValueDiscrete cannot be cast to genius.core.issue.ValueInteger:[/Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/KakeSobaSpearman.class, /Users/joe/Projects/CONAN/out/production/CONAN/CONAN/ConanParty.class];60rounds;No;;0;;;;;;KakeSobaSpearman;ConanParty;0.0;0.0;0.0;0.0;;;KillerRobot_util2;IntegerDomain-prof1
;2;Session genius.core.session.Session@4a1a2ea9 failed: Failed to execute protocol: Execution failed of ConanParty@57:java.lang.ClassCastException: genius.core.issue.ValueDiscrete cannot be cast to genius.core.issue.ValueInteger: genius.core.issue.ValueDiscrete cannot be cast to genius.core.issue.ValueInteger:[/Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/SAGASpearman.class, /Users/joe/Projects/CONAN/out/production/CONAN/CONAN/ConanParty.class];60rounds;No;;0;;;;;;SAGASpearman;ConanParty;0.0;0.0;0.0;0.0;;;KillerRobot_util2;IntegerDomain-prof1
